id,name,proper,bf,ra,dec,mag,ci,dist,x,y,z,spect,con
62132,,,,12.77298100,-56.48881500,4.620,-0.150,117.924500,-63.777619,-13.085451,-98.322988,B3V,Cru
62161,27    Com,,27    Com,12.77743300,16.57769100,5.120,1.346,104.166700,-97.776575,-20.180053,29.720480,K3III,Com
62165,,,,12.77950800,-33.31548300,5.870,1.326,108.932500,-89.141669,-18.448377,-59.831182,K3III,Cen
62207,,,,12.78859400,62.78115500,5.880,0.215,60.277300,-26.984732,-5.651642,53.602465,A9V,UMa
62228,Tianyi,Tianyi,7    Dra,12.79287300,66.79030400,5.430,1.567,227.272700,-87.644943,-18.458661,208.879282,K5III,Dra
62239,Mimosa,Mimosa,Bet Cru,12.79535900,-59.68876400,1.250,-0.238,85.397100,-42.168771,-8.909619,-73.723149,B0.5III,Cru
62305,,,,12.80729700,-27.59738400,5.650,0.947,98.231800,-85.118286,-18.262399,-45.506387,G8III,Hya
62317,,,,12.81094400,60.31982200,5.830,0.467,24.044200,-11.638309,-2.508730,20.889576,F5V,UMa
62346,29    Com,,29    Com,12.81505900,14.12258400,5.710,0.024,122.399000,-116.007463,-25.136576,29.865006,A1V,Com
62366,,,,12.81855000,83.41783200,5.920,0.015,123.001200,-13.776898,-2.998266,122.190445,A0V,Cam
62377,,,,12.82049600,83.41290100,5.380,0.033,178.890900,-20.049620,-4.374056,177.709991,A1IIIsh,Cam
62381,30    Com,,30    Com,12.82151600,27.55237900,5.760,0.051,92.936800,-80.498265,-17.584891,42.988736,A2V,Com
62413,,,,12.82915400,-71.98626000,5.550,1.154,143.266500,-43.264702,-9.541950,-136.243857,G8Ib/II,Mus
62445,,,,12.83632100,37.51693700,5.870,0.170,109.769500,-84.987582,-18.910949,66.849102,A3V,CVn
62487,,,,12.84476900,-33.99930200,4.900,-0.031,122.699400,-99.245673,-22.314159,-68.611416,B9V,Cen
62507,,,,12.84941300,-52.78742400,5.700,0.127,101.833000,-60.069438,-13.582579,-81.099466,A5V,Cen
62535,,,,12.85499400,-60.32978900,5.710,0.344,100000.000000,-48265.804523,-10987.780315,-86888.898945,A2Iab,Cru
62566,31    Com,,31    Com,12.86164500,27.54071200,4.930,0.681,89.126600,-77.024837,-17.675955,41.210244,G0III,Com
62589,,,,12.86581500,-39.68043100,5.990,-0.098,142.857100,-107.133011,-24.708408,-91.215000,B7/B8V,Cen
62664,,,,12.88450200,-54.95247300,5.910,1.309,126.742700,-70.840090,-16.703279,-103.761138,K3III,Cen
62670,,,,12.88525800,-48.94331500,4.330,1.344,90.252700,-57.693580,-13.615620,-68.055950,K3/K4III,Cen
62689,35    Com,,35    Com,12.88826300,21.24494300,4.890,0.904,86.805600,-78.728443,-18.645343,31.454488,G8III,Com
62697,,,,12.88941600,-60.32848900,5.750,0.295,100000.000000,-48166.746235,-11422.738870,-86887.775664,B9Ia,Cru
62699,,,,12.89060700,-40.17887200,4.250,0.224,45.558100,-33.866046,-8.042527,-29.392978,A4IV,Cen
62734,Kap Cru,,Kap Cru,12.89692300,-60.37624400,5.890,0.200,100000.000000,-48073.753977,-11500.525860,-86929.005955,B5Ia,Cru
62757,Alioth,Alioth,77Eps UMa,12.90047200,55.95982100,1.760,-0.022,25.310000,-13.775959,-3.309169,20.972944,A0p,UMa
62783,,,,12.90518400,-11.64857000,6.000,0.068,68.493200,-65.207534,-15.748558,-13.829299,A2V,Vir
62785,40Psi Vir,,40Psi Vir,12.90587900,-9.53899400,4.770,1.590,166.944900,-160.028453,-38.680014,-27.665937,M3IIIvar,Vir
62803,Mu 1Cru,,Mu 1Cru,12.90990000,-57.17792400,4.030,-0.180,127.064800,-66.928408,-16.251590,-106.780004,B2IV-V,Cru
62805,Mu 2Cru,,Mu 2Cru,12.91025100,-57.16867000,5.080,-0.089,124.843900,-65.773626,-15.977575,-104.902760,B5Vne,Cru
62807,Lam Cru,,Lam Cru,12.91088900,-59.14670100,4.620,-0.153,117.647100,-58.626976,-14.251893,-100.998151,B4Vn,Cru
62824,,,,12.91570200,47.19672200,5.750,1.451,213.219600,-140.735824,-34.400103,156.437187,M5III,CVn
62831,Iot Oct,,Iot Oct,12.91621900,-85.12336900,5.450,0.991,107.874900,-8.907925,-2.178938,-107.484871,K0III,Oct
62833,,,,12.91626900,-44.15196800,5.890,0.633,40.096200,-27.945300,-6.834969,-27.929763,G2IV,Cen
